Nummer,Sieve ,Sieve + soil, Sieve+ soil+ water,,WHC,pot nr,treatment,group
1,16.74,26.6,31,,44.62474645,1,CT,0
2,16.6,26.79,30.94,,40.72620216,2,CT,0
3,16.54,26.51,30.1,,36.00802407,3,CT,0
4,16.79,26.75,30.2,,34.63855422,4,CT,0
5,16.76,26.63,31.08,,45.08611955,5,CT,0
6,16.73,26.64,30.47,,38.64783047,6,CT,0
7,16.83,26.39,29.73,,34.93723849,7,CT,0
8,16.6,26.45,30.45,,40.60913706,8,CT,0
9,17.06,27.04,30.27,,32.36472946,9,CT,0
10,17.04,27.02,30.26,,32.46492986,10,CT,0
11,16.67,26.59,30.01,,34.47580645,11,AMF,0
12,16.78,26.75,30.94,,42.02607823,12,AMF,0
13,16.53,26.71,30.87,,40.86444008,13,AMF,0
14,16.44,26.43,30.02,,35.93593594,14,AMF,0
15,16.52,26.81,30.59,,36.73469388,15,AMF,0
16,16.36,26.77,30.79,,38.6167147,16,AMF,0
17,16.46,26.55,30.02,,34.39048563,17,AMF,0
18,16.78,26.86,28.93,,20.53571429,18,AMF,0
19,16.59,26.31,30.25,,40.53497942,19,AMF,0
20,16.53,26.53,30.19,,36.6,20,AMF,0
21,16.68,26.5,30.22,,37.88187373,21,Compost,0
22,16.53,26.52,30.28,,37.63763764,22,Compost,0
23,16.58,28.59,30.43,,15.32056619,23,Compost,0
24,16.47,26.76,30.75,,38.7755102,24,Compost,0
25,16.49,26.58,30.58,,39.6432111,25,Compost,0
26,16.55,26.71,30.27,,35.03937008,26,Compost,0
27,16.78,26.41,30.2,,39.35617861,27,Compost,0
28,16.65,26.71,29.02,,22.96222664,28,Compost,0
29,16.34,26.49,30.65,,40.98522167,29,Compost,0
30,16.82,26.61,30.07,,35.3421859,30,Compost,0
31,16.56,26.75,31.11,,42.78704612,31,Silicate,0
32,16.45,26.49,30.46,,39.54183267,32,Silicate,0
33,16.63,26.52,30.25,,37.7148635,33,Silicate,0
34,16.49,26.48,30.77,,42.94294294,34,Silicate,0
35,16.84,26.71,30.9,,42.45187437,35,Silicate,0
36,16.89,26.57,30.97,,45.45454545,36,Silicate,0
37,16.66,26.47,30.84,,44.54638124,37,Silicate,0
38,16.62,26.7,30.49,,37.59920635,38,Silicate,0
39,16.85,26.66,30.41,,38.22629969,39,Silicate,0
40,16.49,26.56,30.19,,36.04766634,40,Silicate,0
41,16.82,26.68,29.89,,32.55578093,41,Vermiculate,0
42,16.57,26.38,30.15,,38.43017329,42,Vermiculate,0
43,16.87,26.53,29.81,,33.95445135,43,Vermiculate,0
44,16.84,26.56,30.62,,41.76954733,44,Vermiculate,0
45,16.36,26.58,30.63,,39.62818004,45,Vermiculate,0
46,16.76,26.43,30.25,,39.50361944,46,Vermiculate,0
47,16.42,26.4,30.17,,37.7755511,47,Vermiculate,0
48,16.57,26.52,30.35,,38.49246231,48,Vermiculate,0
49,16.51,26.58,30.04,,34.35948361,49,Vermiculate,0
